Species_name,Species_number,Lon,Lat,Year,CoordinateUncertaintyInMeters,Database,Source,geodeticDatum
Ixodes scapularis,1,-87.86179,42.34941,2009,20000,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Rydzewski, J. et al. 2012. Ixodes scapularis (Acari: Ixodidae) Distribution Surveys in the Chicago Metropolitan Region. J. Med. Entomol., 49:955-959",WGS84
Ixodes scapularis,1,-87.86179,42.34941,2009,20000,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Rydzewski, J. et al. 2012. Ixodes scapularis (Acari: Ixodidae) Distribution Surveys in the Chicago Metropolitan Region. J. Med. Entomol., 49:955-959",WGS84
Ixodes scapularis,1,-87.86179,42.34941,2009,20000,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Rydzewski, J. et al. 2012. Ixodes scapularis (Acari: Ixodidae) Distribution Surveys in the Chicago Metropolitan Region. J. Med. Entomol., 49:955-959",WGS84
Ixodes scapularis,1,-87.86179,42.34941,2009,20000,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Rydzewski, J. et al. 2012. Ixodes scapularis (Acari: Ixodidae) Distribution Surveys in the Chicago Metropolitan Region. J. Med. Entomol., 49:955-959",WGS84
Ixodes scapularis,1,-87.86179,42.34941,2009,20000,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Rydzewski, J. et al. 2012. Ixodes scapularis (Acari: Ixodidae) Distribution Surveys in the Chicago Metropolitan Region. J. Med. Entomol., 49:955-959",WGS84
Ixodes scapularis,1,-87.86179,42.34941,2009,20000,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Rydzewski, J. et al. 2012. Ixodes scapularis (Acari: Ixodidae) Distribution Surveys in the Chicago Metropolitan Region. J. Med. Entomol., 49:955-959",WGS84
Ixodes scapularis,1,-87.86179,42.34941,2009,20000,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Rydzewski, J. et al. 2012. Ixodes scapularis (Acari: Ixodidae) Distribution Surveys in the Chicago Metropolitan Region. J. Med. Entomol., 49:955-959",WGS84
Ixodes scapularis,1,-88.45245,42.32439,2009,20000,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Rydzewski, J. et al. 2012. Ixodes scapularis (Acari: Ixodidae) Distribution Surveys in the Chicago Metropolitan Region. J. Med. Entomol., 49:955-959",WGS84
Ixodes scapularis,1,-87.64616,41.8954,2008,20000,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Rydzewski, J. et al. 2012. Ixodes scapularis (Acari: Ixodidae) Distribution Surveys in the Chicago Metropolitan Region. J. Med. Entomol., 49:955-959",WGS84
Ixodes scapularis,1,-87.64616,41.8954,2008,20000,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Rydzewski, J. et al. 2012. Ixodes scapularis (Acari: Ixodidae) Distribution Surveys in the Chicago Metropolitan Region. J. Med. Entomol., 49:955-959",WGS84
